sample,LDH_assay,well,experiment,plate
Blank B,0.501,A05,190831,2
Blank B,0.503,E07,190831,2
Blank B,0.54,H01,190831,2
Positive control P,3.5,H10,190831,2
Positive control P,3.5,H11,190831,2
Positive control P,0.121,H12,190831,2
Sample X1,1.231,A01,190831,2
Sample X2,0.967,A02,190831,2
Sample X3,1.64,A03,190831,2
Sample X4,0.589,A04,190831,2
Sample X6,0.587,A06,190831,2
Sample X7,2.128,A07,190831,2
Sample X8,1.528,A08,190831,2
Sample X9,0.934,A09,190831,2
Sample X10,1.779,A10,190831,2
Sample X11,0.575,A11,190831,2
Sample X12,1.189,A12,190831,2
Sample X13,1.369,B01,190831,2
Sample X14,1.89,B02,190831,2
Sample X15,1.057,B03,190831,2
Sample X16,0.804,B04,190831,2
Sample X17,0.988,B05,190831,2
Sample X18,0.478,B06,190831,2
Sample X19,0.491,B07,190831,2
Sample X20,0.543,B08,190831,2
Sample X21,0.516,B09,190831,2
Sample X22,1.035,B10,190831,2
Sample X23,0.971,B11,190831,2
Sample X24,0.996,B12,190831,2
Sample X25,0.552,C01,190831,2
Sample X26,0.542,C02,190831,2
Sample X27,1.043,C03,190831,2
Sample X28,0.996,C04,190831,2
Sample X29,0.873,C05,190831,2
Sample X30,2.005,C06,190831,2
Sample X31,1.151,C07,190831,2
Sample X32,1.456,C08,190831,2
Sample X33,1.649,C09,190831,2
Sample X34,0.721,C10,190831,2
Sample X35,0.815,C11,190831,2
Sample X36,1.563,C12,190831,2
Sample X37,1.454,D01,190831,2
Sample X38,0.844,D02,190831,2
Sample X39,0.762,D03,190831,2
Sample X40,0.866,D04,190831,2
Sample X41,0.512,D05,190831,2
Sample X42,0.528,D06,190831,2
Sample X43,1.82,D07,190831,2
Sample X44,0.532,D08,190831,2
Sample X45,1.917,D09,190831,2
Sample X46,0.9,D10,190831,2
Sample X47,0.784,D11,190831,2
Sample X48,1.177,D12,190831,2
Sample X49,1.51,E01,190831,2
Sample X50,2.128,E02,190831,2
Sample X51,0.786,E03,190831,2
Sample X52,0.845,E04,190831,2
Sample X53,0.484,E05,190831,2
Sample X54,2.11,E06,190831,2
Sample X56,0.699,E08,190831,2
Sample X57,1.945,E09,190831,2
Sample X58,0.577,E10,190831,2
Sample X59,1.962,E11,190831,2
Sample X60,1.046,E12,190831,2
Sample X61,1.087,F01,190831,2
Sample X62,0.824,F02,190831,2
Sample X63,1.305,F03,190831,2
Sample X64,0.938,F04,190831,2
Sample X65,1.216,F05,190831,2
Sample X66,1.302,F06,190831,2
Sample X67,1.18,F07,190831,2
Sample X68,0.694,F08,190831,2
Sample X69,1.883,F09,190831,2
Sample X70,1.432,F10,190831,2
Sample X71,1.377,F11,190831,2
Sample X72,1.638,F12,190831,2
Sample X73,1.23,G01,190831,2
Sample X74,1.075,G02,190831,2
Sample X75,1.811,G03,190831,2
Sample X76,0.491,G04,190831,2
Sample X77,1.047,G05,190831,2
Sample X78,1.275,G06,190831,2
Sample X79,0.491,G07,190831,2
Sample X80,0.701,G08,190831,2
Sample X81,1.398,G09,190831,2
Sample X82,1.07,G10,190831,2
Sample X83,1.744,G11,190831,2
Sample X84,1.91,G12,190831,2
Sample X86,0.542,H02,190831,2
Sample X87,1.865,H03,190831,2
Sample X88,1.903,H04,190831,2
Sample X89,1.024,H05,190831,2
Sample X90,0.527,H06,190831,2
Sample X91,0.769,H07,190831,2
Sample X92,0.811,H08,190831,2
Sample X93,0.721,H09,190831,2
Blank B,0.443,A05,190920,2
Blank B,0.481,E07,190920,2
Blank B,0.534,H01,190920,2
Positive control P,1.745,H10,190920,2
Positive control P,1.7,H11,190920,2
Positive control P,2.301,H12,190920,2
Sample X1,1.898,A01,190920,2
Sample X2,1.626,A02,190920,2
Sample X3,1.858,A03,190920,2
Sample X4,0.828,A04,190920,2
Sample X6,0.782,A06,190920,2
Sample X7,1.631,A07,190920,2
Sample X8,1.602,A08,190920,2
Sample X9,1.598,A09,190920,2
Sample X10,1.328,A10,190920,2
Sample X11,0.922,A11,190920,2
Sample X12,1.076,A12,190920,2
Sample X13,1.882,B01,190920,2
Sample X14,1.728,B02,190920,2
Sample X15,1.755,B03,190920,2
Sample X16,1.622,B04,190920,2
Sample X17,1.054,B05,190920,2
Sample X18,0.396,B06,190920,2
Sample X19,0.884,B07,190920,2
Sample X20,0.511,B08,190920,2
Sample X21,0.515,B09,190920,2
Sample X22,1.706,B10,190920,2
Sample X23,1.22,B11,190920,2
Sample X24,1.415,B12,190920,2
Sample X25,1.313,C01,190920,2
Sample X26,0.468,C02,190920,2
Sample X27,1.944,C03,190920,2
Sample X28,1.618,C04,190920,2
Sample X29,1.246,C05,190920,2
Sample X30,1.696,C06,190920,2
Sample X31,1.19,C07,190920,2
Sample X32,1.415,C08,190920,2
Sample X33,1.32,C09,190920,2
Sample X34,1.457,C10,190920,2
Sample X35,1.534,C11,190920,2
Sample X36,1.52,C12,190920,2
Sample X37,1.774,D01,190920,2
Sample X38,1.923,D02,190920,2
Sample X39,1.623,D03,190920,2
Sample X40,1.532,D04,190920,2
Sample X41,0.504,D05,190920,2
Sample X42,0.448,D06,190920,2
Sample X43,1.649,D07,190920,2
Sample X44,0.927,D08,190920,2
Sample X45,1.588,D09,190920,2
Sample X46,1.393,D10,190920,2
Sample X47,1.451,D11,190920,2
Sample X48,1.615,D12,190920,2
Sample X49,1.625,E01,190920,2
Sample X50,1.707,E02,190920,2
Sample X51,1.627,E03,190920,2
Sample X52,1.513,E04,190920,2
Sample X53,0.49,E05,190920,2
Sample X54,1.676,E06,190920,2
Sample X56,1.322,E08,190920,2
Sample X57,1.563,E09,190920,2
Sample X58,0.6,E10,190920,2
Sample X59,1.682,E11,190920,2
Sample X60,1.816,E12,190920,2
Sample X61,1.074,F01,190920,2
Sample X62,1.874,F02,190920,2
Sample X63,1.583,F03,190920,2
Sample X64,1.907,F04,190920,2
Sample X65,1.623,F05,190920,2
Sample X66,1.701,F06,190920,2
Sample X67,1.494,F07,190920,2
Sample X68,1.339,F08,190920,2
Sample X69,1.556,F09,190920,2
Sample X70,1.323,F10,190920,2
Sample X71,1.586,F11,190920,2
Sample X72,1.691,F12,190920,2
Sample X73,1.314,G01,190920,2
Sample X74,1.015,G02,190920,2
Sample X75,1.842,G03,190920,2
Sample X76,0.427,G04,190920,2
Sample X77,1.645,G05,190920,2
Sample X78,1.538,G06,190920,2
Sample X79,0.559,G07,190920,2
Sample X80,1.317,G08,190920,2
Sample X81,1.272,G09,190920,2
Sample X82,1.167,G10,190920,2
Sample X83,1.723,G11,190920,2
Sample X84,2.187,G12,190920,2
Sample X86,0.518,H02,190920,2
Sample X87,1.836,H03,190920,2
Sample X88,1.659,H04,190920,2
Sample X89,1.323,H05,190920,2
Sample X90,1.029,H06,190920,2
Sample X91,1.413,H07,190920,2
Sample X92,1.317,H08,190920,2
Sample X93,1.52,H09,190920,2
Blank B,0.304,A05,190923,3
Blank B,0.283,E07,190923,3
Blank B,0.372,H01,190923,3
Positive control P,0.779,H10,190923,3
Positive control P,1.42,H11,190923,3
Positive control P,1.623,H12,190923,3
Sample X1,0.574,A01,190923,3
Sample X2,0.566,A02,190923,3
Sample X3,0.712,A03,190923,3
Sample X4,0.746,A04,190923,3
Sample X6,0.798,A06,190923,3
Sample X7,0.386,A07,190923,3
Sample X8,0.83,A08,190923,3
Sample X9,0.746,A09,190923,3
Sample X10,1.25,A10,190923,3
Sample X11,0.626,A11,190923,3
Sample X12,0.389,A12,190923,3
Sample X13,0.489,B01,190923,3
Sample X14,0.458,B02,190923,3
Sample X15,0.381,B03,190923,3
Sample X16,1.147,B04,190923,3
Sample X17,0.544,B05,190923,3
Sample X18,0.306,B06,190923,3
Sample X19,0.76,B07,190923,3
Sample X20,0.562,B08,190923,3
Sample X21,0.546,B09,190923,3
Sample X22,0.357,B10,190923,3
Sample X23,0.731,B11,190923,3
Sample X24,0.713,B12,190923,3
Sample X25,0.65,C01,190923,3
Sample X26,0.341,C02,190923,3
Sample X27,0.347,C03,190923,3
Sample X28,0.432,C04,190923,3
Sample X29,0.517,C05,190923,3
Sample X30,0.311,C06,190923,3
Sample X31,0.759,C07,190923,3
Sample X32,0.576,C08,190923,3
Sample X33,0.536,C09,190923,3
Sample X34,0.404,C10,190923,3
Sample X35,0.891,C11,190923,3
Sample X36,0.913,C12,190923,3
Sample X37,0.392,D01,190923,3
Sample X38,0.37,D02,190923,3
Sample X39,0.917,D03,190923,3
Sample X40,0.295,D04,190923,3
Sample X41,0.5,D05,190923,3
Sample X42,0.306,D06,190923,3
Sample X43,0.444,D07,190923,3
Sample X44,0.57,D08,190923,3
Sample X45,0.358,D09,190923,3
Sample X46,0.358,D10,190923,3
Sample X47,0.372,D11,190923,3
Sample X48,0.373,D12,190923,3
Sample X49,0.82,E01,190923,3
Sample X50,0.299,E02,190923,3
Sample X51,0.29,E03,190923,3
Sample X52,0.318,E04,190923,3
Sample X53,0.301,E05,190923,3
Sample X54,0.335,E06,190923,3
Sample X56,0.408,E08,190923,3
Sample X57,0.38,E09,190923,3
Sample X58,1.069,E10,190923,3
Sample X59,0.507,E11,190923,3
Sample X60,0.309,E12,190923,3
Sample X61,0.708,F01,190923,3
Sample X62,0.296,F02,190923,3
Sample X63,0.749,F03,190923,3
Sample X64,0.63,F04,190923,3
Sample X65,0.32,F05,190923,3
Sample X66,0.36,F06,190923,3
Sample X67,0.856,F07,190923,3
Sample X68,0.402,F08,190923,3
Sample X69,0.375,F09,190923,3
Sample X70,0.857,F10,190923,3
Sample X71,0.816,F11,190923,3
Sample X72,0.337,F12,190923,3
Sample X73,0.638,G01,190923,3
Sample X74,0.675,G02,190923,3
Sample X75,0.417,G03,190923,3
Sample X76,0.402,G04,190923,3
Sample X77,0.356,G05,190923,3
Sample X78,0.839,G06,190923,3
Sample X79,0.744,G07,190923,3
Sample X80,0.413,G08,190923,3
Sample X81,0.624,G09,190923,3
Sample X82,0.684,G10,190923,3
Sample X83,0.515,G11,190923,3
Sample X84,0.777,G12,190923,3
Sample X86,0.453,H02,190923,3
Sample X87,0.565,H03,190923,3
Sample X88,0.633,H04,190923,3
Sample X89,0.945,H05,190923,3
Sample X90,0.542,H06,190923,3
Sample X91,0.759,H07,190923,3
Sample X92,0.355,H08,190923,3
Sample X93,0.488,H09,190923,3
