exp,growth_curve_available,normalised
plate1/exp191115,FALSE,NA
plate1/exp191116,TRUE,TRUE
plate2/exp190831,TRUE,FALSE
plate2/exp191107,TRUE,TRUE
plate3/exp191109,TRUE,FALSE
plate3/exp191111,TRUE,FALSE
plate4/exp191120,TRUE,FALSE
plate4/exp191121,TRUE,FALSE
plate5/exp191129,FALSE,NA
plate5/exp191130,FALSE,NA
plate5/exp200320,TRUE,TRUE
plate6/exp191205,FALSE,NA
plate6/exp191206,FALSE,NA
plate6/exp200321,TRUE,TRUE
plateM1/exp200228,TRUE,TRUE
plateM1/exp200309,FALSE,NA
plateM2/exp200313,TRUE,TRUE
plateP1/exp200219,TRUE,FALSE
plateP2/exp200226,TRUE,TRUE
